(1246.734716356186, 1671.2134550411436)
(1243.4704233094806, 1667.4260560781042)
(1240.206228168249, 1663.6385727342515)
(1236.9431189790037, 1659.8501537475154)
(1233.6804769505081, 1656.0613324276464)
(1230.417727511318, 1652.2726036042725)
(1227.1534178602747, 1648.4852189522855)
(1223.8858706748679, 1644.7006271128475)
(1220.6151008849858, 1640.9188200075612)
(1217.341609856363, 1637.139368131227)
(1214.0611986867182, 1633.3659210919711)
(1210.7738081439727, 1629.598552856788)
(1207.4833409495336, 1625.8338715100708)
(1204.9698853591992, 1621.5115410049593)
(1202.4458752187525, 1617.1953652890134)
(1199.9106667300593, 1612.885757659674)
(1197.3675595200216, 1608.5808063570164)
(1194.8082926728355, 1604.2854422042474)
(1192.23600184884, 1599.997864809402)
(1189.651726663476, 1595.717500132612)
(1186.9177700872233, 1591.5311554932919)
(1184.3031112113017, 1587.2692827872431)
(1181.6862458495764, 1583.0087645466294)
(1179.0526525154671, 1578.7585661806077)
(1176.408505608797, 1574.5149253927998)
(1173.7472805950263, 1570.281973535516)
(1171.0646375597964, 1566.0625628722205)
(1168.3695686687565, 1561.8510781372904)
(1165.652638003025, 1557.6536637239155)
(1162.9320635121635, 1553.4586101557625)
(1160.2120440553763, 1549.2631966892852)
(1157.497272667453, 1545.0643853918687)
(1154.8070637096996, 1540.8497945738147)
(1152.1571061796224, 1536.6097798228043)
(1149.5465355561512, 1532.3454016712012)
(1146.960252785434, 1528.066249719016)
(1144.3991065198097, 1523.7720059199196)
(1141.855578357129, 1519.4673033186184)
(1139.3415917479806, 1515.145281647106)
(1136.855676130962, 1510.8070534897747)
(1134.4002541209768, 1506.4514935082248)
(1131.9720978508176, 1502.0806746916085)
(1129.0424293218978, 1498.0288797423723)
(1126.138468815024, 1493.9586201223335)
(1123.1053618753344, 1489.983665746192)
(1120.2685974248589, 1485.8662918923237)
(1117.4679518080561, 1481.7242653196079)
(1115.2283281703142, 1477.2539089623062)
(1112.4713562193926, 1473.0826854413438)
(1109.740383133178, 1468.89439390393)
(1107.5867521810867, 1464.3819806114452)
(1104.9104071235686, 1460.1585723748312)
(1102.2416769980675, 1455.9303482183745)
(1099.5741627677332, 1451.7013568692507)
(1096.9121537174526, 1447.4688980311491)
(1094.2517677016078, 1443.2354188181735)
(1091.5909733504805, 1439.0021962370884)
(1088.935679187593, 1434.7655214904814)
(1086.2848514295247, 1430.526050745559)
(1083.636390579123, 1426.2851009552537)
(1080.993396275727, 1422.040742215442)
(1078.3539165069362, 1417.7941969666374)
(1075.7188631063989, 1413.5449036634732)
(1073.0823756490452, 1409.296499976532)
(1070.4445987199035, 1405.0488967850736)
(1067.8111498210365, 1400.7986089245803)
(1065.1813417251396, 1396.5460674046471)
(1062.5524475376549, 1392.2929608516663)
(1059.9249046819994, 1388.0390193215446)
(1057.300702452502, 1383.7830161896495)
(1054.6744319749068, 1379.5282890093815)
(1052.0516791085827, 1375.2713925574826)
(1049.4295367819575, 1371.014120001148)
(1046.807172908856, 1366.7569839078276)
(1044.188896846876, 1362.4973324592625)
(1041.5669526218544, 1358.2399378944053)
(1038.9464375145021, 1353.9816635288744)
(1036.3271772803032, 1349.7226171772197)
(1033.7103970094486, 1345.4620466738638)
(1031.099584168241, 1341.1978168127769)
(1028.4864085286072, 1336.935034496446)
(1025.8737149953581, 1332.671956676218)
(1023.2637876121933, 1328.4071848119086)
(1020.650891139498, 1324.144231372921)
(1018.0387911424217, 1319.8807898516527)
(1015.4276441849647, 1315.6167645742225)
(1012.8164646473016, 1311.352759247996)
(1010.2033858439307, 1307.0899175705026)
(1007.5905597376737, 1302.8269210025398)
(1004.9734857398563, 1298.5665309159458)
(1002.3583875050596, 1294.3049277877365)
(999.7353165121369, 1290.0482273559362)
(997.1165999759976, 1285.7888466846002)
(994.4957745146104, 1281.5307633245725)
(991.8730458391462, 1277.273851968331)
(989.2492432419931, 1273.0176024536559)
(986.6243087112009, 1268.7620509372182)
(983.9952507351696, 1264.5090456281848)
(981.3625530721447, 1260.2582923990378)
(978.7266026623366, 1256.0095554764887)
(976.0855959415106, 1251.7639596996216)
(973.441678401243, 1247.5201760057626)
(970.7959184519207, 1243.2775407055556)
(968.1446786649708, 1239.0383276191333)
(965.4872942082457, 1234.802963662027)
(962.8196534721219, 1230.5740521114062)
(960.1440322351864, 1226.3501852815382)
(957.464038563248, 1222.1290913571663)
(954.7729230975976, 1217.9150793079978)
(952.0713631844424, 1213.7077554512412)
(948.1325053668018, 1210.6279179405255)
(944.2658038062581, 1207.4579622560263)
(940.4844056129513, 1204.1867197239515)
(936.7463743636879, 1200.8660085983745)
(933.1656416486719, 1197.376258861844)
(929.6095819200559, 1193.8613706407884)
(926.0549964090123, 1190.3449915593071)
(922.5018426068415, 1186.827165802093)
(918.9497003509574, 1183.3083186337774)
(915.3956156325229, 1179.7914333905273)
(911.8405848061735, 1176.275504519844)
(909.0912652797673, 1172.099233199429)
(906.334885330691, 1167.9276184549528)
(903.5693622346915, 1163.762059428184)
(900.799723994914, 1159.5992353842494)
(898.0204855786668, 1155.4428145891836)
(895.2357792983804, 1151.2900551532744)
(892.4389085296631, 1147.1454787089203)
(889.632086673765, 1143.0076349383978)
(886.8156823272119, 1138.8763074814276)
(883.9889525100259, 1134.7520380260414)
(881.1522013777376, 1130.6346549963173)
(878.3081230935536, 1126.5223297765137)
(875.4529436346565, 1122.4177043054758)
(872.586924211252, 1118.3206403976671)
(869.7138895993693, 1114.2284927807154)
